Country,Year,Area,CO2,CO2_area
Belize,1,128277,7.3071,5.70E-05
Belize,2,153923,7.3071,4.75E-05
Belize,3,164124,7.3071,4.45E-05
Belize,4,184274,7.3071,3.97E-05
Belize,5,130610,5.8457,4.48E-05
Belize,6,173667,6.3329,3.65E-05
Belize,7,164348,4.8714,2.96E-05
Belize,8,188559,6.3329,3.36E-05
Belize,9,183151,9.4408,5.15E-05
Belize,10,199748,11.1799,5.60E-05
Belize,11,178084,13.8349,7.77E-05
Belize,12,169844,9.2557,5.45E-05
Belize,13,166257,59.1391,3.56E-04
Belize,14,150936,100.8093,6.68E-04
Belize,15,150868,12.6365,8.38E-05
Belize,16,159296,20.0167,1.26E-04
Belize,17,166146,13.9372,8.39E-05
Belize,18,177700,12.6365,7.11E-05
Belize,19,181858,8.1255,4.47E-05
Belize,20,182623,28.5368,1.56E-04
Belize,21,201983,11.3991,5.64E-05
CostaRica,1,773395,270.8514,3.50E-04
CostaRica,2,783774,303.9771,3.88E-04
CostaRica,3,778918,316.6429,4.07E-04
CostaRica,4,740508,292.2857,3.95E-04
CostaRica,5,769340,341,4.43E-04
CostaRica,6,765005,341,4.46E-04
CostaRica,7,777205,433.5571,5.58E-04
CostaRica,8,793739,487.1429,6.14E-04
CostaRica,9,781025,506.6286,6.49E-04
CostaRica,10,893076,389.7143,4.36E-04
CostaRica,11,849223,331.2571,3.90E-04
CostaRica,12,821514,259.272,3.16E-04
CostaRica,13,782505,181.753,2.32E-04
CostaRica,14,821231.35,317.5148,3.87E-04
CostaRica,15,830959,298.8232,3.60E-04
CostaRica,16,841486,432.7193,5.14E-04
CostaRica,17,823799,346.6557,4.21E-04
CostaRica,18,845294,322.4691,3.81E-04
CostaRica,19,868343,330.5021,3.81E-04
CostaRica,20,931326.2,347.6398,3.73E-04
CostaRica,21,981633,278.1683,2.83E-04
ElSalvador,1,2076695,256.8071,1.24E-04
ElSalvador,2,2179838,269.8918,1.24E-04
ElSalvador,3,2318742,261.4447,1.13E-04
ElSalvador,4,2195902,256.8217,1.17E-04
ElSalvador,5,2163265,224.0857,1.04E-04
ElSalvador,6,2075463,204.0495,9.83E-05
ElSalvador,7,1965873,292.2857,1.49E-04
ElSalvador,8,2128534,351.23,1.65E-04
ElSalvador,9,2001033,277.6714,1.39E-04
ElSalvador,10,1849708,276.7361,1.50E-04
ElSalvador,11,1780511,236.0353,1.33E-04
ElSalvador,12,1940079,235.1633,1.21E-04
ElSalvador,13,1626665,168.113,1.03E-04
ElSalvador,14,1593883,177.7877,1.12E-04
ElSalvador,15,1643935,228.7477,1.39E-04
ElSalvador,16,1692664,332.4896,1.96E-04
ElSalvador,17,1673190,255.068,1.52E-04
ElSalvador,18,1644453,316.2531,1.92E-04
ElSalvador,19,1830603,289.0608,1.58E-04
ElSalvador,20,1824360,276.2246,1.51E-04
ElSalvador,21,1736100.67,301.3368,1.74E-04
Guatemala,1,3759230,389.7143,1.04E-04
Guatemala,2,3976819,478.3743,1.20E-04
Guatemala,3,4228657,487.1429,1.15E-04
Guatemala,4,4023548,521.2429,1.30E-04
Guatemala,5,3581795,545.6,1.52E-04
Guatemala,6,3263554,560.2143,1.72E-04
Guatemala,7,3424697,535.8571,1.56E-04
Guatemala,8,3435231,576.9964,1.68E-04
Guatemala,9,3687307,492.0143,1.33E-04
Guatemala,10,3541890,604.0571,1.71E-04
Guatemala,11,3568724,606.4929,1.70E-04
Guatemala,12,3603026,560.1948,1.55E-04
Guatemala,13,3687887,409.9648,1.11E-04
Guatemala,14,3869844,575.1696,1.49E-04
Guatemala,15,4035319,683.705,1.69E-04
Guatemala,16,4532651,640.2275,1.41E-04
Guatemala,17,4787797,709.8743,1.48E-04
Guatemala,18,3907668,648.2946,1.66E-04
Guatemala,19,4345746,430.2153,9.90E-05
Guatemala,20,5060825,587.2215,1.16E-04
Guatemala,21,4969181,692.4151,1.39E-04
Honduras,1,2295046,54.0972,2.36E-05
Honduras,2,2568346,97.4286,3.79E-05
Honduras,3,2490868,101.92,4.09E-05
Honduras,4,2524674,160.7571,6.37E-05
Honduras,5,2615352,58.4571,2.24E-05
Honduras,6,2457520,352.2043,1.43E-04
Honduras,7,2493145,242.5971,9.73E-05
Honduras,8,2410789,404.0314,1.68E-04
Honduras,9,2647660,457.393,1.73E-04
Honduras,10,2477053,533.4214,2.15E-04
Honduras,11,2352268,662.0271,2.81E-04
Honduras,12,2219021,535.8571,2.41E-04
Honduras,13,2416853,158.5114,6.56E-05
Honduras,14,2212925,251.7067,1.14E-04
Honduras,15,2217167,344.181,1.55E-04
Honduras,16,2229540,367.2132,1.65E-04
Honduras,17,2240276,435.8175,1.95E-04
Honduras,18,2468014,406.2577,1.65E-04
Honduras,19,2281407,217.5434,9.54E-05
Honduras,20,2383306,248.0044,1.04E-04
Honduras,21,3004667,158.2971,5.27E-05
Mexico,1,52587016,6558.4043,1.25E-04
Mexico,2,49333238,5627.4743,1.14E-04
Mexico,3,47937602,5991.8571,1.25E-04
Mexico,4,47290080,5811.6143,1.23E-04
Mexico,5,52446490,5759.9771,1.10E-04
Mexico,6,52790190,5110.1286,9.68E-05
Mexico,7,56597622,5881.7629,1.04E-04
Mexico,8,51459014,5831.1,1.13E-04
Mexico,9,55184718,6508.2286,1.18E-04
Mexico,10,50927521,6332.8571,1.24E-04
Mexico,11,50031661,6537.4571,1.31E-04
Mexico,12,53678146,6693.83,1.25E-04
Mexico,13,49726352,4316.4121,8.68E-05
Mexico,14,52722095,4445.5829,8.43E-05
Mexico,15,52548191,4591.4578,8.74E-05
Mexico,16,46410734.2,5940.4977,1.28E-04
Mexico,17,50074405,5151.8475,1.03E-04
Mexico,18,50604154,5562.504,1.10E-04
Mexico,19,51547157,4573.7307,8.87E-05
Mexico,20,45308151,5004.9057,1.10E-04
Mexico,21,50441637,5873.2817,1.16E-04
Nicaragua,1,1851330,154.9017,8.37E-05
Nicaragua,2,1766020,127.7873,7.24E-05
Nicaragua,3,1680490,126.6571,7.54E-05
Nicaragua,4,1749341,102.3,5.85E-05
Nicaragua,5,1673763,52.6114,3.14E-05
Nicaragua,6,2023772,121.7857,6.02E-05
Nicaragua,7,2069717,126.1895,6.10E-05
Nicaragua,8,1978982,97.297,4.92E-05
Nicaragua,9,2111601,106.6843,5.05E-05
Nicaragua,10,2019015,98.5928,4.88E-05
Nicaragua,11,2463617,69.1743,2.81E-05
Nicaragua,12,2404907,58.3013,2.42E-05
Nicaragua,13,2731995,171.6497,6.28E-05
Nicaragua,14,2908684,178.6207,6.14E-05
Nicaragua,15,2474541,162.6034,6.57E-05
Nicaragua,16,2925433,173.4618,5.93E-05
Nicaragua,17,2537383,207.8687,8.19E-05
Nicaragua,18,2600025,203.9765,7.85E-05
Nicaragua,19,2485934.9,166.1888,6.69E-05
Nicaragua,20,2500818.56,230.8229,9.23E-05
Nicaragua,21,2523298.65,194.5843,7.71E-05
Panama,1,811240,105.5736,1.30E-04
Panama,2,784655,79.8086,1.02E-04
Panama,3,825187,115.4236,1.40E-04
Panama,4,773453,127.5389,1.65E-04
Panama,5,784371,87.4421,1.11E-04
Panama,6,795788,81.3529,1.02E-04
Panama,7,789648,133.4771,1.69E-04
Panama,8,631780,104.385,1.65E-04
Panama,9,629072,103.7614,1.65E-04
Panama,10,626914,86.2243,1.38E-04
Panama,11,684977,74.5182,1.09E-04
Panama,12,809454,77.9429,9.63E-05
Panama,13,810378,73.9044,9.12E-05
Panama,14,894884.6,85.8443,9.59E-05
Panama,15,896730.5,74.2065,8.28E-05
Panama,16,854471.7,76.082,8.90E-05
Panama,17,750569,86.1366,1.15E-04
Panama,18,764827,70.6649,9.24E-05
Panama,19,793152,75.2782,9.49E-05
Panama,20,729518,84.2952,1.16E-04
Panama,21,760795,105.9049,1.39E-04