lot,yield,fdk,incidence,severity,moisture,don
1001,6546.3,12.3,90,28,13.9,1.9
1002,5971.9,14.7,95,33,13.1,5
1003,6650.6,11,60,5,13.7,1.5
1004,6836.7,11,65,11,13.6,1.1
1005,5513.7,15.3,95,26,12.9,4.2
1006,5676.5,18,100,46,12.7,4.1
1007,6771.3,12,65,9,13.2,1.5
1008,5915.2,11,85,15,13.6,1.9
2001,6390.4,10.7,35,3,14.5,1.1
2002,6046.6,16.7,85,27,13.1,4.1
2003,7016.4,10,55,7,13.4,1.1
2004,6725.6,13.7,80,8,13.5,1.8
2005,5850,20.7,100,37,12.8,3.6
2006,7319.7,10,35,4,13.6,1.5
2007,6716.7,8.3,55,11,13.9,0.97
2008,5560.8,18.3,100,25,13.1,3.2
3001,5351.5,17.3,95,35,13.1,4.2
3002,6686.3,11.7,60,7,14.1,0.97
3003,7038,9,40,3,13.5,1.3
3004,6888.1,9,40,4,13.7,1.4
3005,6413.1,11,40,3,13.7,0.75
3006,6063,9,75,11,13.4,2.7
3007,5700,13.7,95,27,12.8,4.3
3008,5359,13.7,85,33,13.1,3.7
4001,6316.6,6.7,60,10,13.7,0.8
4002,5706.5,16.7,90,17,12.7,4.8
4003,6770.9,12,20,1,13.3,3
4004,5791.7,13.7,85,26,13,3.7
4005,6507.2,9,55,5,14.8,1.3
4006,6316.7,12,50,5,13.8,0.86
4007,5305.3,13.7,85,22,13,5.1
4008,5880.7,16,75,20,12.9,3.1